registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
icr.io,ibm-messaging/mq,9.3.0.0-r3,sha256:cc5c5c7deba44f295723b670c6834ee64babc0b47b6e9df5c267390a0c5fc3ce,LIST,,,,0,CASE,,
icr.io,ibm-messaging/mq,9.3.0.0-r3-amd64,sha256:411642c78a822b4a8da2ffd042e09c273c7046ab1e06261a2c2ede695b30dcea,IMAGE,linux,amd64,,0,CASE,,
,,,,,,,,,,,
cp.icr.io,cp/ibm-mqadvanced-server-integration,9.3.0.0-r3,sha256:77ed05f946e9af9be08d29f8bcaced16c636c69fe7e7f9f517e7fb048c683d98,LIST,,,,0,CASE,,
cp.icr.io,cp/ibm-mqadvanced-server-integration,9.3.0.0-r3-amd64,sha256:979b292267e7b9aead6e6bfa3e9a9eed35bee9134280c244788fef083d762ad3,IMAGE,linux,amd64,,0,CASE,,
icr.io,cpopen/ibm-mq-operator,v2.0.2,sha256:25e6a931256553b5a22c6cdc7b75618919918a5b3cc4ebf3552011e2f1cbd2d7,LIST,,,,0,CASE,,
icr.io,cpopen/ibm-mq-operator,v2.0.2-amd64,sha256:6d8175e2cd15a094f69e79af2f84dd8ec1a6c9db0b6f4217f2d6e7e80b6a572b,IMAGE,linux,amd64,,0,CASE,,
icr.io,cpopen/ibm-mq-operator-bundle,v2.0.2,sha256:6736ce84599c2e24a513dbb572a01cb12414321717f027b7090ada8277ee7d60,IMAGE,linux,amd64,,0,CASE,olm-bundle,
icr.io,cpopen/ibm-mq-operator-catalog,v2.0.2,sha256:d76496b571eb6380910a59fca7aef53aa3d9c7ef5ea1b5dfcaabaf08b1ddce7e,LIST,,,,0,CASE,olm-catalog,
icr.io,cpopen/ibm-mq-operator-catalog,v2.0.2-amd64,sha256:d4ea6013128ee0173245d6869bbdb94b6c740953cb1aec6ebd79dda2824281d4,IMAGE,linux,amd64,,0,CASE,olm-catalog,
,,,,,,,,,,,
,,,,,,,,,,,
Operator size : 54968360,,,,,,,,,,,
Catalog size: 351138239,,,,,,,,,,,
Base image: 706676215,,,,,,,,,,,
