registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/icpa/transformation-advisor-db,3.2.2,sha256:523422d4ffe548e9e2e428ebeaff7c83dc40ec4105d60a48b6788429213db09f,LIST,,,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-db,3.2.2-amd64,sha256:01f92399f43f64a29508be110c0b5b2b33d0db8fd5c7e2781e6f8b866e0898b6,IMAGE,linux,amd64,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-neo4j,3.2.2,sha256:a986ea0da9ca24b9a69999138b7325d4ba9611a8c60cea201b844d6a16868846,LIST,,,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-neo4j,3.2.2-amd64,sha256:c77cf1dd52722f443f50947133bd8ed480197f6f4d84ead087d7e4b9f6bdf7a5,IMAGE,linux,amd64,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-server,3.2.2,sha256:b159cf44632d2ed4696b13b5edf98c2f221a287c118e45efa7a5f2f1597e1c40,LIST,,,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-server,3.2.2-amd64,sha256:3bad836910ae4a816bfcf001b735317db3ebfc33639edb37674f9f3186a65d8d,IMAGE,linux,amd64,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-ui,3.2.2,sha256:427252e1b1cef2ddac01a1a225161c7f7737d0be92bc6a92a1ad2d8e2d70183d,LIST,,,,0,CASE,,
cp.icr.io,cp/icpa/transformation-advisor-ui,3.2.2-amd64,sha256:bc7f1b19aff7e22999db84693a209aa1d25d8c2a3529313fc7cea2753415a403,IMAGE,linux,amd64,,0,CASE,,
icr.io,cpopen/ibm-transformation-advisor-operator,3.2.2,sha256:d109aa5abb9880af2d888b5b83179f3fc9c25f59be4310d76ae471fa9fe3cf95,LIST,,,,0,CASE,,
icr.io,cpopen/ibm-transformation-advisor-operator,3.2.2-amd64,sha256:cdc50c63943f8d7202e54130121e5088fa40a897a2c3ffa171b23e97b50429c3,IMAGE,linux,amd64,,0,CASE,,
icr.io,cpopen/ibm-transformation-advisor-operator-bundle,3.2.2-amd64,sha256:ccbeef0954257d605ef4faf7a962a29d8a6ae950de05294fb16642f6bfe7adca,IMAGE,linux,amd64,,0,CASE,olm-bundle,
icr.io,cpopen/ibm-transformation-advisor-operator-catalog,v3.2-20220824.111941,sha256:2409b910cd6bdcd1fcb262df672be8f054ad60ce82254c7d51881030c2a884db,LIST,,,,0,CASE,olm-catalog,
icr.io,cpopen/ibm-transformation-advisor-operator-catalog,v3.2-20220824.111941-amd64,sha256:e6d8ffd15b6029abd54709a27eeff6d0f75f8aaadde658e73bb6813dc7b3ab20,IMAGE,linux,amd64,,0,CASE,olm-catalog,
