registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,appcafe/open-liberty/samples/getting-started,latest,sha256:3077bf2cb4c2bb4c34a37bf3557e85d508669e0f915c0a95a13f7314a517da35,IMAGE,linux,amd64,,0,CASE,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
icr.io,cpopen/websphere-liberty-operator-catalog,1.0.1,sha256:acb52ff0c00e37a8de858408b13b0ae4323f32d2188141b6a8792d12d89f0c0d,IMAGE,linux,amd64,,0,CASE,olm-catalog,
icr.io,cpopen/websphere-liberty-operator,1.0.1,sha256:7669d76603e1b8a1a3b7b347c6a4e702f8854e664c3248f5b026880798577e30,LIST,,,,0,CASE,,
icr.io,cpopen/websphere-liberty-operator,1.0.1-amd64,sha256:82b9fe34a94b0ae62935ee9b314b228a7a8eee005286b2d34b5ae7662c3a69e9,IMAGE,linux,amd64,,0,CASE,,
icr.io,cpopen/websphere-liberty-operator-bundle,1.0.1,sha256:5a8c6095ccc58bcfc17cdac217b79d188cbac6e22197f0ca9f789214156a32e0,IMAGE,linux,amd64,,0,CASE,olm-bundle,
,,,,,,,,,,,
Operator SIZE : 47398866, ,,,,,,,,,,
 CATALOG SIZE : 55878734,,,,,,,,,,,
,,,,,,,,,,,
Websphere base image: https://hub.docker.com/_/websphere-liberty,,,,,,,,,,,
Open liberty images: https://hub.docker.com/_/open-liberty,,,,,,,,,,,
